week,origin_lat,origin_lng,cluster_size,next_centroid,destination_lat,destination_lng,e_distance,week
1577664000,-3.8526232056074767,-38.59978031312563,107,0,-3.82822905625,-38.6727681769722,0.07695649934561911,2019-12-30 00:00:00
1578268800,-3.82822905625,-38.6727681769722,64,1,-3.860615293478261,-38.603888464440494,0.07611362006793788,2020-01-06 00:00:00
1578268800,-5.79424025,-35.220515649999996,2,2,-5.8846468,-35.1775119,0.10011326983301508,2020-01-06 00:00:00
1578873600,-6.746551831250001,-39.23046671464832,8,2,-6.78466445,-39.165386399490984,0.07541895735762354,2020-01-13 00:00:00
1578873600,-5.8846468,-35.1775119,2,1,-5.8348063,-35.244141799999994,0.08320828693277729,2020-01-13 00:00:00
1579478400,-3.827739452083333,-38.5345849718948,24,2,-3.798864796428571,-38.607740299822865,0.07864761753093136,2020-01-20 00:00:00
1580083200,-3.841983155681818,-38.571581236194554,44,1,-3.8565164078125,-38.64592782258992,0.07575374793551416,2020-01-27 00:00:00
1580083200,-3.53858843,-40.81091891051364,5,2,-3.5685341285714287,-40.68385912456989,0.13054092870409126,2020-01-27 00:00:00
1580083200,-7.015910699999999,-39.42308941373294,5,0,-6.913770746153846,-39.474960553502946,0.11455647215435635,2020-01-27 00:00:00
1580688000,-3.8565164078125,-38.64592782258992,32,1,-3.838123084848485,-38.62221861576797,0.030007346063236965,2020-02-03 00:00:00
1581292800,-3.838123084848485,-38.62221861576797,33,2,-3.813875852083333,-38.7175131019591,0.09833090762762799,2020-02-10 00:00:00
1581292800,-3.9303522624999996,-40.65120149942708,8,1,-3.90120875,-40.68303929127472,0.043162359880327836,2020-02-10 00:00:00
1582502400,-3.7787503541666667,-38.57177136468675,24,0,-3.7702704166666665,-38.57567128568092,0.009333741131690604,2020-02-24 00:00:00
1582502400,-7.233230475000001,-39.35443536547491,2,1,-7.16637878,-39.379609243728844,0.07143439837340992,2020-02-24 00:00:00
1582502400,-4.70255055,-37.80878904785198,5,3,-4.60245435,-37.75437395939628,0.11393090496536935,2020-02-24 00:00:00
1583107200,-3.815543329761905,-38.64199748838139,42,0,-3.788128640625,-38.55558401817577,0.09065788996789924,2020-03-02 00:00:00
1583712000,-3.8341430945783133,-38.54905355366339,83,1,-3.8157842871511067,-38.550547983578326,0.0184195312348733,2020-03-09 00:00:00
1584316800,-3.6962875166666667,-40.218810619732245,90,3,-3.7107670293939394,-40.21306414240508,0.015578135014601372,2020-03-16 00:00:00
1584316800,-3.8157842871511067,-38.550547983578326,1039,0,-3.841329407035928,-38.5502305075088,0.025547092617125025,2020-03-16 00:00:00
1584327600,-3.7278218,-38.5003721,2,0,-3.7537173,-38.524288454545456,0.03525009127846761,2020-03-16 03:00:00
1584327600,-3.7278218,-38.5003721,0,0,-3.7537173,-38.524288454545456,0.03525009127846761,2020-03-16 03:00:00
1584338400,-3.7530505,-38.5502204,2,1,-3.7859330954545456,-38.69124503301322,0.1448075004980684,2020-03-16 06:00:00
1584921600,-3.841329407035928,-38.5502305075088,2004,0,-3.832711076778867,-38.55539015005343,0.010044776132168648,2020-03-23 00:00:00
1584932400,-3.7947477,-38.4981434,1,1,-3.8005158931034484,-38.562458857487286,0.06457360237562228,2020-03-23 03:00:00
1584932400,-3.6079911,-39.511554,2,5,-3.6262329,-39.51291687879412,0.01829264076339379,2020-03-23 03:00:00
1584932400,-3.7299321333333335,-38.5034813,3,1,-3.8005158931034484,-38.562458857487286,0.0919805383261905,2020-03-23 03:00:00
1584932400,-3.8064758,-38.5844079,1,1,-3.8005158931034484,-38.562458857487286,0.02274381140905254,2020-03-23 03:00:00
1584932400,-3.74877475,-38.5789716,2,1,-3.8005158931034484,-38.562458857487286,0.054312213681399046,2020-03-23 03:00:00
1584932400,-3.7673154,-38.5355598,2,1,-3.8005158931034484,-38.562458857487286,0.04272975585958789,2020-03-23 03:00:00
1584932400,-3.73384505,-38.4725575,2,1,-3.8005158931034484,-38.562458857487286,0.11192522234968615,2020-03-23 03:00:00
1584943200,-3.795923255,-38.52442655631454,10,1,-3.7709162666666667,-38.52798016199115,0.025258218037607312,2020-03-23 06:00:00
1584954000,-3.7838791666666665,-38.514537966666666,3,0,-3.75464265,-38.531675675,0.033889156881027,2020-03-23 09:00:00
1584954000,-4.2252946,-38.9209686,1,1,-4.2252946,-38.9209686,0.0,2020-03-23 09:00:00
1584964800,-3.7455897,-38.6578994,1,0,-3.8529096249999997,-38.65425699014001,0.10738171842470737,2020-03-23 12:00:00
1585526400,-3.832711076778867,-38.55539015005343,2347,0,-3.827422200711283,-38.55088390463437,0.006948270131859468,2020-03-30 00:00:00
1585526400,-6.62065753020134,-39.315016253783185,149,2,-6.595263296153845,-39.4195557504739,0.10757961466303162,2020-03-30 00:00:00
1585526400,-3.70170226902439,-40.05742172678089,205,3,-3.690372892635659,-40.005875990442746,0.05277610921750413,2020-03-30 00:00:00
1585537200,-3.8005158931034484,-38.562458857487286,29,0,-3.7889893701754387,-38.541188637272654,0.024192622818270386,2020-03-30 03:00:00
1585548000,-3.7709162666666667,-38.52798016199115,15,0,-3.763250602,-38.54664781577687,0.02018028029397426,2020-03-30 06:00:00
1585558800,-3.7278218,-38.5003721,2,1,-3.79286629,-38.57086926259594,0.09591994377356752,2020-03-30 09:00:00
1585558800,-3.7988695,-38.5751167,1,1,-3.79286629,-38.57086926259594,0.007353859858849047,2020-03-30 09:00:00
1585558800,-3.7640575,-38.5508418,1,1,-3.79286629,-38.57086926259594,0.03508625998225761,2020-03-30 09:00:00
